City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
322,Santa Rita Do Sapucai,-22.2522,-45.7033,59.77,93,100,1.68,BR,overcast clouds
323,Usinsk,65.9939,57.5281,-16.76,88,100,15.9,RU,light snow
324,Klaksvik,62.2266,-6.589,35.6,55,75,21.85,FO,broken clouds
325,Chokwe,-24.5333,32.9833,75.83,87,94,4.52,MZ,overcast clouds
326,The Valley,18.217,-63.0578,78.8,73,40,9.22,AI,scattered clouds
327,Florida,28.7505,-82.5001,54.0,93,90,4.61,US,overcast clouds
328,Wanning,18.8003,110.3967,74.46,78,91,9.75,CN,overcast clouds
329,Tiksi,71.6872,128.8694,-27.62,86,65,5.88,RU,broken clouds
330,Tura,25.5198,90.2201,75.09,28,0,4.14,IN,clear sky
331,Eyl,7.9803,49.8164,77.59,69,42,19.26,SO,scattered clouds
332,Sola,-13.8833,167.55,81.86,69,35,3.69,VU,scattered clouds
333,Harper,4.375,-7.7169,78.66,90,45,6.11,LR,scattered clouds
334,Noyabrsk,63.1994,75.4507,0.97,92,59,15.37,RU,broken clouds
335,San Quintin,30.4833,-115.95,58.19,75,0,4.45,MX,clear sky
336,Maracacume,-2.0428,-45.9592,72.66,98,65,2.64,BR,broken clouds
337,Vetluga,57.8557,45.781,-23.94,85,9,7.87,RU,clear sky
338,Dingle,10.9995,122.6711,75.81,93,100,10.49,PH,overcast clouds
339,Ilhabela,-23.7781,-45.3581,72.3,72,90,0.89,BR,overcast clouds
340,Okhotsk,59.3833,143.3,20.05,89,100,18.41,RU,overcast clouds
341,Montbrison,45.6667,4.0833,36.0,86,75,3.44,FR,broken clouds
342,Ola,59.5833,151.2833,14.11,86,88,18.34,RU,overcast clouds
343,Harrismith,-28.2728,29.1295,60.53,89,13,2.59,ZA,few clouds
344,Santiago,-33.4569,-70.6483,64.0,72,20,6.91,CL,few clouds
